Name,BVN,Age,Occupation,LoanAmount,AnnualIncome,MonthlyNetSalary,InterestRate,NumberOfLoan,NumberOfDelayedPayment,OutstandingDebt,MonthsOfCreditHistory,PaymentOfMinimumAmount,MonthlyInstallmentAmount,AmountInvestedMonthly,MonthlyBalance
David Jonesc,#N/A,17,Entrepreneur,2735.29,78741.32,6458.78,33,6,15,2011.92,204,1,326.68,182.51,396.69
David Jonesc,#N/A,17,Entrepreneur,2498.37,78741.32,6458.78,33,6,19,2011.92,205,1,326.68,419.43,159.77
Saeedp,#N/A,54,Media_Manager,2088.31,108488.61,8773.72,14,0,15,1366.18,311,1,0,415.24,722.13
Saeedp,#N/A,55,Media_Manager,1617.1,108488.61,8773.72,14,0,15,1366.18,313,1,0,916.45,250.92
Saeedp,#N/A,55,Media_Manager,2371.95,108488.61,8773.72,14,0,17,1366.18,315,1,0,111.6,1005.77
Ra,#N/A,25,Media_Manager,950.05,121453.36,10084.11,11,2,4,338.28,267,0,142.6,656.64,469.17
Ra,#N/A,26,Media_Manager,1299.47,121453.36,10084.11,11,2,4,338.28,272,0,142.6,317.21,818.59
Ra,#N/A,26,Media_Manager,29506.13,121453.36,10084.11,11,2,4,338.28,273,0,28184,121.96,983.85
John Irishl,#N/A,28,Engineer,673.65,44572.43,3757.37,10,0,8,198.87,181,0,0,160.96,474.78
John Irishl,#N/A,28,Engineer,729.31,44572.43,3757.37,10,0,6,198.87,184,0,0,85.3,530.44
Malonel,#N/A,30,Media_Manager,1797.24,26509.67,1820.11,18,2,23,1259.9,290,1,171.81,82.11,365.53
Malonel,#N/A,30,Media_Manager,1807.89,26509.67,1820.11,18,2,20,1259.9,294,1,171.81,31.46,376.18
Levinel,#N/A,19,Journalist,2480.06,15115.04,1274.59,24,2,13,2154.52,220,1,20.64,61.92,304.9
Drivert,#N/A,54,Scientist,1234.88,78401.25,6475.44,17,3,10,444.02,219,0,131.99,96.68,658.87
Drivert,#N/A,54,Scientist,1266.49,78401.25,6475.44,17,3,12,444.02,220,0,131.99,65.07,690.48
Wroughtonx,#N/A,51,Entrepreneur,1683.92,34229.35,2840.45,12,4,0,1180.77,361,0,85.69,30.89,417.46
Pedro daj,#N/A,53,Manager,1606.74,17902.54,1669.88,1,0,4,1289.22,277,0,0,119.47,317.52
Pedro daj,#N/A,53,Manager,1582.3,17902.54,1669.88,1,0,1,1289.22,282,0,0,143.91,293.08
Pedro daj,#N/A,54,Manager,1678.8,17902.54,1669.88,1,0,1,1289.22,283,0,0,17.41,389.58
Langeb,#N/A,25,Developer,4123.66,46650.9,4031.58,33,8,15,3555.25,140,1,207.55,74.75,360.86
Lisay,#N/A,18,Accountant,1326.93,31011.32,2810.28,15,0,14,992.07,229,1,0,216.17,334.86
Lisay,#N/A,18,Accountant,1372.69,31011.32,2810.28,15,0,14,992.07,231,1,0,160.41,380.62
Malathi Nayakb,#N/A,37,Doctor,3651.96,9491.03,768.92,15,6,16,3377.48,73,1,28.88,92.41,245.6
Malathi Nayakb,#N/A,37,Doctor,3686.23,9491.03,768.92,15,6,16,3377.48,76,1,28.88,58.15,279.87
Lorrainey,#N/A,53,Journalist,1616.82,152340.56,12568.05,8,4,12,329.18,318,0,422.79,209.16,864.85
Lorrainey,#N/A,54,Journalist,949.92,152340.56,12568.05,8,4,12,329.18,321,0,422.79,926.06,197.95
Caroline Valetkevitchb,#N/A,19,Lawyer,579.48,28608.65,2490.05,12,1,8,143.04,205,0,23.01,102.57,413.43
Caroline Valetkevitchb,#N/A,19,Lawyer,490.83,28608.65,2490.05,12,1,11,143.04,208,0,23.01,191.22,324.78
Jonathan Cablec,#N/A,29,Entrepreneur,2186.92,46696.02,3811.34,33,3,19,1595.76,220,0,89.91,29.97,501.25
Jonathan Cablec,#N/A,29,Entrepreneur,1753.43,46696.02,3811.34,33,3,19,1595.76,225,0,89.91,513.47,67.76
Jonathan Cablec,#N/A,29,Entrepreneur,2040.12,46696.02,3811.34,33,3,19,1595.76,226,1,89.91,196.77,354.45
le Paull,#N/A,14,Engineer,4051.62,17157.47,1656.79,22,6,15,3743.28,128,1,44.45,147.34,263.89
le Paull,#N/A,15,Engineer,4085.51,17157.47,1656.79,22,6,18,3743.28,135,1,44.45,83.45,297.78
Kyliex,#N/A,29,Lawyer,911.2,57421.58,4522.13,6,3,10,287.31,285,0,101.38,88.32,522.51
Kyliex,#N/A,29,Lawyer,790.37,57421.58,4522.13,6,3,11,287.31,286,0,101.38,239.16,401.68
Kyliex,#N/A,29,Lawyer,786.86,57421.58,4522.13,6,3,10,287.31,288,0,101.38,212.66,398.17
Johnj,#N/A,33,Musician,473.85,21202.09,1943.84,8,1,15,192.21,339,1,15.32,192.74,266.32
Johnj,#N/A,33,Musician,531.9,21202.09,1943.84,8,1,16,192.21,342,0,15.32,114.69,324.37
Johnj,#N/A,33,Musician,550.56,21202.09,1943.84,8,1,12,192.21,343,1,15.32,116.04,343.03
Johnj,#N/A,33,Musician,601.86,21202.09,1943.84,8,1,15,192.21,345,1,15.32,44.73,394.33
Richard Leongt,#N/A,28,Architect,46557.78,82831.68,7133.64,9,3,12,34.27,283,1,46144,480.15,379.51
Richard Leongt,#N/A,28,Architect,772.64,82831.68,7133.64,9,3,8,34.27,289,1,113.7,224.99,624.67
Shalal-Esad,#N/A,20,Writer,1685.36,56304.16,4458.01,13,5,17,1171.42,190,1,157.48,191.86,356.46
Shalal-Esad,#N/A,20,Writer,1818.63,56304.16,4458.01,13,5,15,1171.42,191,0,157.48,48.58,489.73
Shalal-Esad,#N/A,20,Writer,1678.51,56304.16,4458.01,13,5,14,1171.42,192,1,157.48,188.71,349.61
Shalal-Esad,#N/A,20,Writer,1644.98,56304.16,4458.01,13,5,14,1171.42,194,1,157.48,232.23,316.08
Shalal-Esad,#N/A,20,Writer,2271.24,56304.16,3990.21,13,5,15,1171.42,195,1,625.29,53.79,474.53
Dyeb,#N/A,54,Musician,1165.46,36135.19,2898.27,11,4,14,695.59,256,0,87.98,109.96,381.89
Dyeb,#N/A,54,Musician,1147.55,36135.19,2898.27,11,4,13,695.59,261,0,87.98,117.87,363.98
Hlaf,#N/A,33,Entrepreneur,3371.66,55835.7,4617.98,24,8,21,2802.64,100,1,269.25,172.77,299.77
Hlaf,#N/A,34,Entrepreneur,3396,55835.7,4617.98,24,8,19,2802.64,102,1,269.25,158.43,324.11
Sabaw,#N/A,14,Media_Manager,2643.75,73823.84,6130.99,30,6,14,1949.73,150,1,356.37,159.09,337.65
Sabaw,#N/A,14,Media_Manager,2615.82,73823.84,6130.99,30,6,14,1949.73,152,1,356.37,217.02,309.72
Yukhananovn,#N/A,18,Developer,946.64,14264.46,1091.71,14,6,16,659.07,189,0,60.28,111.61,227.29
Yukhananovn,#N/A,18,Developer,1012.32,14264.46,1091.71,14,6,16,659.07,190,1,60.28,35.93,292.97
Yukhananovn,#N/A,18,Developer,993.57,14264.46,1091.71,14,6,16,659.07,191,1,60.28,54.68,274.22
Christopherm,#N/A,42,Engineer,1735.95,35728.54,3096.38,11,3,15,1229.33,269,0,58.73,53.02,447.89
Christopherm,#N/A,42,Engineer,1641.16,35728.54,3096.38,11,3,15,1229.33,270,0,58.73,157.81,353.1
Christopherm,#N/A,42,Engineer,1670.68,35728.54,3096.38,11,3,15,1229.33,272,0,58.73,118.29,382.62
Axelk,#N/A,29,Engineer,1326.23,28119.52,2151.29,17,0,17,917.64,351,1,0,46.54,408.59
Axelk,#N/A,29,Engineer,1306.69,28119.52,2151.29,17,0,17,917.64,355,1,0,76.08,389.05
Edwardsd,#N/A,52,Manager,590.02,22179.64,1938.3,12,3,21,172.29,382,0,47.43,26.1,370.3
Cabler,#N/A,35,Writer,4375.88,7765.2,817.1,23,6,22,4071.68,54,0,36.7,47.51,267.5
Cabler,#N/A,35,Writer,4386.6,7765.2,817.1,23,6,25,4071.68,58,1,36.7,46.79,278.22
Mohammedr,#N/A,39,Writer,4701.09,31369.58,2607.13,27,8,22,4259.91,145,0,171.75,99.54,269.43
Mohammedr,#N/A,39,Writer,4671,31369.58,2607.13,27,8,22,4259.91,147,1,171.75,99.62,239.34
Rick Rothackerg,#N/A,31,Entrepreneur,667.93,100268.73,8064.73,6,4,11,148.15,250,1,263.39,546.69,256.39
Rick Rothackerg,#N/A,31,Entrepreneur,1124.9,100268.73,8064.73,6,4,10,148.15,253,1,263.39,69.73,713.36
Rick Rothackerg,#N/A,31,Entrepreneur,1227.07,100268.73,7836.79,6,4,12,148.15,255,1,491.33,195.49,587.59
Rick Rothackerg,#N/A,32,Entrepreneur,1279.82,100268.73,7836.79,6,4,11,148.15,256,1,491.33,152.74,640.34
Rick Rothackerg,#N/A,32,Entrepreneur,785.61,100268.73,7836.79,6,4,12,148.15,257,1,491.33,666.95,146.13
Paulj,#N/A,44,Accountant,2279.17,7558.55,409.88,19,5,23,1965.56,190,1,16.99,17.37,296.62
Paulj,#N/A,44,Accountant,2250.99,7558.55,409.88,19,5,20,1965.56,191,1,16.99,35.56,268.44
Paulj,#N/A,44,Accountant,2272.94,7558.55,409.88,19,5,20,1965.56,193,1,16.99,23.6,290.39
Lauren Taram,#N/A,40,Entrepreneur,1950.92,63461.28,5109.44,6,4,17,1266.31,136,1,176.64,76.34,507.97
Lauren Taram,#N/A,40,Entrepreneur,1957.01,63461.28,5109.44,6,4,15,1266.31,137,1,176.64,70.25,514.06
Lauren Taram,#N/A,40,Entrepreneur,1864.72,63461.28,5109.44,6,4,18,1266.31,138,1,176.64,172.54,421.77
Lauren Taram,#N/A,40,Entrepreneur,1819.45,63461.28,5109.44,6,4,15,1266.31,142,1,176.64,207.81,376.5
Lauren Taram,#N/A,40,Entrepreneur,1839.11,63461.28,5109.44,6,4,15,1266.31,143,1,176.64,208.14,396.16
Alistair Barrp,#N/A,50,Developer,1878.88,88221.16,7113.76,12,0,15,988.12,320,1,0,60.62,890.76
Alistair Barrp,#N/A,51,Developer,1763.32,88221.16,7113.76,12,0,15,988.12,327,1,0,176.18,775.2
Peter Rudegeairj,#N/A,38,Accountant,644.55,13300.54,1183.38,14,3,8,367.87,311,1,18.41,131.66,258.27
Peter Rudegeairj,#N/A,38,Accountant,617.43,13300.54,1183.38,14,3,11,367.87,315,1,18.41,158.78,231.15
Peter Rudegeairj,#N/A,39,Accountant,689.35,13300.54,1183.38,14,3,10,367.87,316,1,18.41,76.85,303.07
Richardi,#N/A,19,Doctor,4406,14293.6,1022.13,32,6,21,4064.01,154,1,66.89,40.22,275.1
Richardi,#N/A,19,Doctor,4379.44,14293.6,1022.13,32,6,20,4064.01,155,1,66.89,36.78,248.54
Nigel Daviesn,#N/A,48,Musician,1006.15,33388.1,2599.34,8,0,15,589.89,238,1,0,93.67,416.26
Nigel Daviesn,#N/A,48,Musician,999.7,33388.1,2599.34,8,0,13,589.89,239,1,0,120.12,409.81
Nigel Daviesn,#N/A,48,Musician,997.96,33388.1,2599.34,8,0,13,589.89,240,1,0,141.86,408.07
Nigel Daviesn,#N/A,48,Musician,999.11,33388.1,2599.34,8,0,15,589.89,241,1,0,110.72,409.22
Nigel Daviesn,#N/A,48,Musician,886.86,33388.1,2599.34,8,0,14,589.89,244,1,0,242.97,296.97
Solarina Hov,#N/A,41,Developer,1179.88,60901.36,5351.11,7,3,2,475.75,240,0,94.34,70.99,609.79
Megan Daviesy,#N/A,15,Teacher,2769.16,52882.77,4455.9,25,7,18,2368.63,68,1,158.76,335.06,241.77
Megan Daviesy,#N/A,15,Teacher,2901.33,52882.77,4455.9,25,7,18,2368.63,71,1,158.76,162.89,373.94
Megan Daviesy,#N/A,15,Teacher,2993.51,52882.77,4455.9,25,7,18,2368.63,73,1,158.76,70.72,466.12
Emilyg,#N/A,26,Manager,5379.69,54881.55,4633.46,22,7,18,4727.09,36,1,218.65,60.74,433.95
Emilyg,#N/A,27,Manager,5064.37,54881.55,4633.46,22,7,19,4727.09,38,1,218.65,416.06,118.63
Lefterise,#N/A,32,Journalist,1981.77,36945.28,3347.77,16,1,19,1465.01,288,1,16.01,78.01,500.75
Lefterise,#N/A,33,Journalist,1999.3,36945.28,3347.77,16,1,19,1465.01,290,1,16.01,50.48,518.28
Lefterise,#N/A,33,Journalist,1977.66,36945.28,3347.77,16,1,19,1465.01,293,1,16.01,62.13,496.64
C.l,#N/A,25,Media_Manager,1678.58,45852.8,3655.07,9,3,19,1249.64,395,0,104.59,206.57,324.35
C.l,#N/A,25,Media_Manager,1784.6,45852.8,3655.07,9,3,20,1249.64,400,0,104.59,90.55,430.37
Yantoultraq,#N/A,27,Engineer,2284.88,8761.63,660.14,26,3,17,1968.72,125,1,12.86,19.86,303.3
Yantoultraq,#N/A,27,Engineer,2241.22,8761.63,660.14,26,3,17,1968.72,126,1,12.86,83.51,259.64
Jan Harveyf,#N/A,23,Architect,1813.5,34791.08,3151.26,9,3,19,1477.48,348,1,85.55,269.11,250.47
Poornimaj,#N/A,16,Teacher,2207.34,63340.32,5345.36,21,6,7,1571.84,233,1,234.89,149.03,400.61
Poornimaj,#N/A,16,Teacher,2257.55,63340.32,5345.36,21,6,9,1571.84,235,0,234.89,98.82,450.82
Poornimaj,#N/A,17,Teacher,2258.33,63340.32,5345.36,21,6,9,1571.84,238,0,234.89,98.04,451.6
Chuckf,#N/A,15,Mechanic,1911.29,20082.65,1470.55,31,5,22,1549.99,233,1,52.58,75.75,308.72
Chuckf,#N/A,15,Mechanic,1897.07,20082.65,1470.55,31,5,22,1549.99,234,1,52.58,89.97,294.5
Chuckf,#N/A,15,Mechanic,1866.66,20082.65,1470.55,31,5,22,1549.99,236,1,52.58,120.38,264.09
Leika Kiharal,#N/A,38,Mechanic,2818.97,14365.54,1486.13,25,2,22,2530.48,226,1,16.27,150.13,272.22
Leika Kiharal,#N/A,38,Mechanic,2915.89,14365.54,1486.13,25,2,20,2530.48,227,0,16.27,53.21,369.14
Leika Kiharal,#N/A,38,Mechanic,2816.42,14365.54,1486.13,25,2,20,2530.48,228,1,16.27,152.67,269.67
Eva Kuehnenp,#N/A,25,Accountant,1333.59,66176.67,5809.72,19,2,19,750.37,244,0,78.21,257.75,505.01
Eva Kuehnenp,#N/A,25,Accountant,1456.55,66176.67,5809.72,19,2,17,750.37,248,0,78.21,124.79,627.97
Eva Kuehnenp,#N/A,25,Accountant,1325.04,66176.67,5809.72,19,2,16,750.37,249,0,78.21,266.3,496.46
Eva Kuehnenp,#N/A,26,Accountant,1431.35,66176.67,5809.72,19,2,21,750.37,250,0,78.21,150,602.77
Skariachann,#N/A,24,Entrepreneur,1961.93,29563.72,2704.64,17,5,20,1736.34,156,1,82.55,334.87,143.04
Skariachann,#N/A,24,Entrepreneur,2046.64,29563.72,2704.64,17,5,20,1736.34,157,0,82.55,240.16,227.75
Skariachann,#N/A,25,Entrepreneur,2157.28,29563.72,2704.64,17,5,20,1736.34,159,1,82.55,119.52,338.39
Skariachann,#N/A,25,Entrepreneur,2190.79,29563.72,2704.64,17,5,18,1736.34,161,1,82.55,86.01,371.9
Latulk,#N/A,15,Architect,5087.1,20076.41,1549.03,29,6,24,4831.48,28,1,65.23,189.29,190.39
Emmanueln,#N/A,37,Architect,4511.18,20967.39,1932.28,28,8,22,4094,56,1,99.51,26.04,317.67
Emmanueln,#N/A,37,Architect,4491.67,20967.39,1932.28,28,8,20,4094,58,1,99.51,55.55,298.16
Emmanueln,#N/A,37,Architect,4497.94,20967.39,1932.28,28,8,22,4094,59,1,99.51,29.29,304.43
Jessicao,#N/A,33,Journalist,3373.32,19890.19,1541.52,27,6,20,3028.06,108,1,54.93,98.89,290.33
Johna,#N/A,53,Journalist,1611.84,82146.63,6770.55,6,3,9,804.62,347,0,128.29,109.83,678.93
Johna,#N/A,54,Journalist,1387.42,82146.63,6770.55,6,3,9,804.62,354,0,128.29,374.25,454.51
Lisa Juccad,#N/A,35,Doctor,1592.13,20700.46,1870.04,5,3,2,1199.47,222,0,38.73,44.35,353.93
Lisa Juccad,#N/A,35,Doctor,1579.58,20700.46,1870.04,5,3,0,1199.47,223,0,38.73,76.9,341.38
Jennifere,#N/A,32,Mechanic,994.7,15789.99,1022.83,5,4,3,682.12,184,0,50.31,79.7,262.27
Richarda,#N/A,50,Entrepreneur,1743.79,160573.56,13293.13,8,1,3,551.26,238,0,121.18,386.78,1071.35
Lukeg,#N/A,22,Journalist,4472.95,14089.4,1046.12,26,9,27,4118.73,18,1,102.65,30.4,251.57
Margaret Chadbourny,#N/A,20,Scientist,1556.66,63561.98,5227.83,6,1,12,952.48,269,0,35.26,168.61,568.92
Laurencer,#N/A,29,Engineer,2142.85,97168.2,8002.35,8,2,17,1226.83,187,1,95.99,124.21,820.03
Laurencer,#N/A,29,Engineer,1865.39,97168.2,8002.35,8,2,17,1226.83,188,0,95.99,421.67,542.57
Laurencer,#N/A,29,Engineer,1385.91,97168.2,8002.35,8,2,17,1226.83,189,1,95.99,931.15,63.09
Laurencer,#N/A,29,Engineer,2075.17,97168.2,8002.35,8,2,17,1226.83,190,1,95.99,211.89,752.35
Langew,#N/A,41,Accountant,50134.67,20712.24,2007.02,30,7,11,2375.83,152,1,47437,44.08,321.84
Langew,#N/A,41,Accountant,11218.66,20712.24,2007.02,30,7,13,2375.83,154,1,8517,40.09,325.83
Langew,#N/A,42,Accountant,2796.07,20712.24,2007.02,30,7,11,2375.83,155,1,84.78,70.47,335.46
Langew,#N/A,42,Accountant,2770.77,20712.24,2007.02,30,7,13,2375.83,156,1,84.78,75.76,310.16
Langew,#N/A,42,Accountant,2761.59,20712.24,2007.02,30,7,12,2375.83,158,1,84.78,74.94,300.98
Lucia Mutikanil,#N/A,33,Scientist,2257.71,72287.52,5910.96,30,4,15,1802.44,206,1,175.97,415.83,279.3
Lucia Mutikanil,#N/A,33,Scientist,2420.69,72287.52,5910.96,30,4,12,1802.44,207,0,175.97,222.85,442.28
Lucia Mutikanil,#N/A,33,Scientist,2511.91,72287.52,5910.96,30,4,12,1802.44,208,1,175.97,121.63,533.5
Santaa,#N/A,29,Developer,1488.03,31135.37,2500.61,9,0,8,1112.57,333,0,0,164.6,375.46
Santaa,#N/A,29,Developer,1408.54,31135.37,2500.61,9,0,8,1112.57,334,0,0,234.09,295.97
Santaa,#N/A,30,Developer,1576,31135.37,2500.61,9,0,8,1112.57,336,0,0,36.63,463.43
Langee,#N/A,24,Manager,988.94,92091.87,7842.32,8,1,3,637.18,305,0,49.01,702.47,302.75
Langee,#N/A,24,Manager,1155.87,92091.87,7842.32,8,1,4,637.18,306,0,49.01,535.54,469.68
Ronr,#N/A,52,Writer,1351.82,107409.27,8745.77,13,1,20,550.22,328,1,66.46,322.97,735.14
Ronr,#N/A,52,Writer,1554.52,107409.27,8745.77,13,1,20,550.22,329,1,66.46,110.28,937.84
Jan Strupczewskio,#N/A,26,Scientist,1121.78,23051.72,1873.98,7,0,22,713.33,332,0,0,28.95,408.45
Jan Strupczewskio,#N/A,27,Scientist,1050.27,23051.72,1873.98,7,0,20,713.33,333,0,0,140.46,336.94
Jan Strupczewskio,#N/A,27,Scientist,939.17,23051.72,1873.98,7,0,18,713.33,334,0,0,251.56,225.84
Christophera,#N/A,22,Teacher,1810.06,57619.53,4643.63,7,2,18,1284.31,375,0,81.52,228.61,444.23
Sayantanit,#N/A,45,Entrepreneur,826.08,55281.02,4713.75,10,4,15,522.67,116,1,99.26,457.96,204.15
Sayantanit,#N/A,45,Entrepreneur,858.02,55281.02,4713.75,10,4,13,522.67,117,1,99.26,416.02,236.09
Sayantanit,#N/A,45,Entrepreneur,1025.87,55281.02,4713.75,10,4,15,522.67,120,1,99.26,248.18,403.94
Mutikanio,#N/A,33,Scientist,1216.59,68090.85,5717.24,20,1,13,791.78,271,0,31.25,426.91,393.56
Mutikanio,#N/A,33,Scientist,925.12,68090.85,5717.24,20,1,13,791.78,272,0,31.25,728.39,102.09
Mutikanio,#N/A,33,Scientist,1403.03,68090.85,5717.24,20,1,13,791.78,273,0,31.25,220.48,580
Paul Carrelg,#N/A,56,Media_Manager,683.97,17741279,1507.34,8,0,11,355.92,342,0,0,112.68,328.05
er Andreaw,#N/A,51,Journalist,1724.58,151696.32,12392.36,10,0,7,381.3,353,0,0,135.96,1343.28
er Andreaw,#N/A,52,Journalist,1579.69,151696.32,12392.36,10,0,6,381.3,357,0,0,280.84,1198.39
Strupczewskid,52366259588,28,Doctor,2289.72,89190.57,7135.55,19,3,10,1427.36,311,0,165.48,101.19,696.88
Sophied,#N/A,22,Musician,1634.17,60460.92,4855.41,16,1,8,1040.47,174,1,40.28,151.85,553.42
Sophied,#N/A,22,Musician,1404.74,60460.92,4855.41,16,1,5,1040.47,175,1,40.28,391.28,323.99
Sophied,#N/A,22,Musician,1699.52,60460.92,4855.41,16,1,9,1040.47,176,1,40.28,76.49,618.77
Sophied,#N/A,22,Musician,1693.54,60460.92,4855.41,16,1,8,1040.47,178,1,40.28,82.48,612.79
Juliana Castillap,#N/A,24,Architect,2794.06,14886.29,1379.52,20,2,25,2489.24,155,1,17.64,123.14,287.18
Juliana Castillap,#N/A,24,Architect,2810.29,14886.29,1379.52,20,2,25,2489.24,159,1,17.64,106.91,303.41
Juliana Castillap,#N/A,24,Architect,2753.77,14886.29,1379.52,20,2,25,2489.24,161,1,17.64,163.43,246.89
Horowitzc,#N/A,54,Teacher,907.82,155916.32,12869.03,2,3,1,551.8,207,0,249.1,1200.88,106.92
Alina Selyukhe,#N/A,37,Manager,2538.68,14019.63,1315.3,19,6,20,2177.66,197,0,69.88,40.51,291.14
Alina Selyukhe,#N/A,37,Manager,2461.06,14019.63,1315.3,19,6,20,2177.66,200,1,69.88,138.14,213.52
Alina Selyukhe,#N/A,38,Manager,2554.64,14019.63,1315.3,19,6,20,2177.66,202,1,69.88,44.55,307.1
Nadia Damounin,#N/A,44,Accountant,5243.76,14155.67,1444.64,15,8,14,4896.28,163,1,71.08,76.99,276.4
Nadia Damounin,#N/A,44,Accountant,5243.16,14155.67,1387.28,15,8,17,4896.28,166,1,128.44,144.95,218.44
Levinev,#N/A,43,Journalist,2002.76,9377.45,818.45,12,6,14,1717.15,81,1,43.21,86.23,242.4
Levinev,#N/A,43,Journalist,2058.06,9377.45,818.45,12,6,17,1717.15,84,1,43.21,30.94,297.7
Levinev,#N/A,43,Journalist,2048.71,9377.45,818.45,12,6,15,1717.15,86,1,43.21,30.28,288.35
Laynea,#N/A,54,Developer,1538.67,100956.21,8658.02,2,1,10,633.54,348,0,53.09,230.68,852.04
Laynea,#N/A,55,Developer,1480.82,100956.21,8658.02,2,1,10,633.54,353,0,53.09,268.53,794.19
Laynea,#N/A,55,Developer,1487.05,100956.21,8658.02,2,1,7,633.54,354,0,53.09,292.29,800.42
Grantm,#N/A,33,Doctor,2060.28,133439.76,11066.98,11,4,3,863.99,367,0,432.52,150.41,763.77
Wachtelm,#N/A,35,Lawyer,771.28,15967.51,1474.63,7,2,1,447.66,372,0,16.53,93.84,307.09
Wachtelm,#N/A,35,Lawyer,752.49,15967.51,1474.63,7,2,2,447.66,374,0,16.53,102.64,288.3
Wachtelm,#N/A,35,Lawyer,706.38,15967.51,1474.63,7,2,2,447.66,375,0,16.53,178.74,242.19
Wachtelm,#N/A,35,Lawyer,749.51,15967.51,1474.63,7,2,2,447.66,376,0,16.53,115.61,285.32
Lasha,#N/A,40,Manager,1914.85,14241.48,1466.49,29,6,23,1596.22,112,1,67.84,108.35,250.79
James Regang,#N/A,45,Teacher,785.5,75042.72,6484.56,13,2,9,417.62,208,1,105.68,550.57,262.2
James Regang,#N/A,45,Teacher,1188.78,75042.72,6484.56,13,2,9,417.62,210,1,105.68,127.29,665.48
James Regang,#N/A,45,Teacher,1150.66,75042.72,6484.56,13,2,12,417.62,213,1,105.68,155.41,627.36
da Costal,#N/A,35,Lawyer,1816.62,114977.76,9641.48,9,4,1,1084.96,275,0,245.01,512.48,486.65
Ana Nicolacik,#N/A,43,Manager,4165.67,7435.16,333.6,19,6,19,3854.27,58,1,26.85,11.95,284.55
Robin Emmottj,#N/A,29,Accountant,1904.96,10367.01,1095.92,34,5,22,1568.49,64,1,37.9,53.12,298.57
Robin Emmottj,#N/A,29,Accountant,1859.73,10367.01,1095.92,34,5,20,1568.49,65,1,37.9,108.35,253.34
Robin Emmottj,#N/A,30,Accountant,1842.34,10367.01,1095.92,34,5,20,1568.49,68,1,37.9,125.74,235.95
Robin Emmottj,#N/A,30,Accountant,1870.1,10367.01,1095.92,34,5,20,1568.49,71,1,37.9,77.98,263.71
Carvalhok,#N/A,42,Accountant,2012.85,30185.74,2340.41,11,0,0,1227.94,331,0,314.07,34.6,470.84
Carvalhok,#N/A,42,Accountant,1893.71,30185.74,2340.41,11,0,2,1227.94,332,0,314.07,183.75,351.7
Slaterm,#N/A,51,Teacher,2019.71,69476.14,6016.68,1,3,8,1305.65,238,0,106.65,127.61,607.41
Slaterm,#N/A,51,Teacher,1460.81,69476.14,6016.68,1,3,5,1305.65,241,0,106.65,736.51,48.51
Slaterm,#N/A,51,Teacher,2051.81,69476.14,6016.68,1,3,5,1305.65,242,0,106.65,105.52,639.51
Slaterm,#N/A,51,Teacher,2064.31,69476.14,6016.68,1,3,2,1305.65,244,0,106.65,93.01,652.01
Felsenthalv,#N/A,30,Writer,2960.4,28952.76,2338.73,21,8,25,2717.85,8,1,155.78,281.32,86.77
Felsenthalv,#N/A,31,Writer,3144.52,28952.76,2338.73,21,8,25,2717.85,11,1,155.78,67.2,270.89
Felsenthalv,#N/A,31,Writer,3163.92,28952.76,2338.73,21,8,22,2717.85,12,1,155.78,57.8,290.29
Smiths,#N/A,25,Entrepreneur,5097.38,18798.83,1721.57,20,9,25,4734.1,73,1,72.27,58.88,291.01
Smiths,#N/A,26,Entrepreneur,5091.36,18798.83,1721.57,20,9,25,4734.1,78,1,72.27,64.9,284.99
Smiths,#N/A,26,Entrepreneur,5110.07,18798.83,1721.57,20,9,20,4734.1,80,1,72.27,36.19,303.7
Menonr,#N/A,46,Journalist,926.51,88348.8,7090.4,15,0,13,261.93,311,1,0,314.46,664.58
Menonr,#N/A,46,Journalist,932.92,88348.8,7090.4,15,0,14,261.93,315,1,0,288.05,670.99
Andy Brucea,#N/A,44,Architect,5381.43,46076.49,3558.71,31,7,21,4914.02,30,1,263.5,138.46,203.91
Andy Brucea,#N/A,44,Architect,5467.99,46076.49,3558.71,31,7,21,4914.02,31,1,263.5,41.9,290.47
Andy Brucea,#N/A,44,Architect,5456.41,46076.49,3558.71,31,7,23,4914.02,32,1,263.5,83.48,278.89
Andy Brucea,#N/A,44,Architect,5343.51,46076.49,3558.71,31,7,23,4914.02,34,1,263.5,186.38,165.99
Jonathan Saulf,#N/A,45,Lawyer,1553.67,22182.95,1937.58,13,4,16,1170.58,71,0,62.26,80.67,320.83
Jonathan Saulf,#N/A,45,Lawyer,1526.71,22182.95,1937.58,13,4,17,1170.58,72,1,62.26,117.63,293.87
Jonathan Saulf,#N/A,45,Lawyer,1492.38,22182.95,1937.58,13,4,17,1170.58,74,1,62.26,161.96,259.54
Dhanyaf,#N/A,48,Scientist,996.85,32357.41,2456.45,9,0,21,681.22,315,0,0,210.01,315.63
Dhanyaf,#N/A,49,Scientist,1087.04,32357.41,2456.45,9,0,19,681.22,319,0,0,89.82,405.82
Reynoldse,#N/A,43,Scientist,4264.6,54601.74,4527.15,33,7,15,3665.2,53,1,246,103.32,353.4
Ian Chuar,#N/A,24,Lawyer,1060.32,31481.45,2834.45,8,0,15,650.3,397,0,0,153.42,410.02
Ian Chuar,#N/A,24,Lawyer,1124.12,31481.45,2834.45,8,0,12,650.3,399,0,0,59.62,473.82
Sophiet,#N/A,37,Teacher,1576.51,85280.88,6846.74,2,0,6,825.18,354,0,0,173.34,751.33
